Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Yawrate,Length (m),Width (m),Vehicle Number,Agent_Type,Vx,Vy,Ax,Ay,V_lon,V_lat,A_lon,A_lat,2_Position X (m),2_Position Y (m),2_Velocity (m/s),2_Heading,2_Yawrate,2_Length (m),2_Width (m),2_Vehicle Number,2_Agent_Type,2_Vx,2_Vy,2_Ax,2_Ay,2_V_lon,2_V_lat,2_A_lon,2_A_lat
1111.32,47.639,-31.063,0.789,0.166,0.0028,4.616,1.814,417,car,0.777,0.136,-1.36,-0.227,0.789,-0.006,-1.379,-0.001,92.179,-19.561,8.186,-2.957,-0.0029,4.344,1.791,424,car,-8.081,-1.306,0.333,-0.05,8.183,0.198,-0.319,-0.11
1111.36,47.67,-31.058,0.728,0.167,0.003,4.616,1.814,417,car,0.717,0.126,-1.337,-0.222,0.728,-0.006,-1.356,-0.002,91.86,-19.612,8.184,-2.958,-0.0033,4.344,1.791,424,car,-8.079,-1.31,0.36,-0.047,8.182,0.19,-0.345,-0.112
1111.4,47.698,-31.053,0.669,0.167,0.0036,4.616,1.814,417,car,0.659,0.117,-1.309,-0.218,0.669,-0.006,-1.327,-0.004,91.538,-19.665,8.182,-2.958,-0.004,4.344,1.791,424,car,-8.075,-1.315,0.398,-0.04,8.18,0.182,-0.384,-0.112
1111.44,47.724,-31.048,0.61,0.168,0.0039,4.616,1.814,417,car,0.601,0.108,-1.276,-0.212,0.61,-0.006,-1.294,-0.004,91.213,-19.718,8.177,-2.958,-0.0046,4.344,1.791,424,car,-8.07,-1.319,0.447,-0.032,8.175,0.173,-0.433,-0.113
1111.48,47.747,-31.044,0.553,0.169,0.0039,4.616,1.814,417,car,0.544,0.099,-1.237,-0.207,0.553,-0.006,-1.255,-0.004,90.888,-19.772,8.169,-2.959,-0.0051,4.344,1.791,424,car,-8.062,-1.322,0.505,-0.021,8.168,0.165,-0.493,-0.112
1111.52,47.767,-31.04,0.498,0.169,0.0037,4.616,1.814,417,car,0.489,0.09,-1.193,-0.2,0.498,-0.007,-1.21,-0.003,90.561,-19.826,8.157,-2.959,-0.0054,4.344,1.791,424,car,-8.049,-1.325,0.573,-0.008,8.156,0.158,-0.562,-0.112
1111.56,47.785,-31.037,0.444,0.169,0.0033,4.616,1.814,417,car,0.437,0.082,-1.144,-0.194,0.444,-0.007,-1.16,-0.002,90.235,-19.879,8.14,-2.96,-0.0055,4.344,1.791,424,car,-8.032,-1.326,0.646,0.006,8.139,0.149,-0.637,-0.111
1111.6,47.8,-31.033,0.394,0.17,0.0027,4.616,1.814,417,car,0.387,0.073,-1.09,-0.187,0.394,-0.007,-1.106,0,89.909,-19.933,8.119,-2.96,-0.0053,4.344,1.791,424,car,-8.009,-1.327,0.725,0.021,8.117,0.14,-0.717,-0.11
1111.64,47.813,-31.031,0.346,0.17,0.0021,4.616,1.814,417,car,0.34,0.065,-1.033,-0.179,0.346,-0.007,-1.048,0.002,89.586,-19.987,8.092,-2.961,-0.0049,4.344,1.791,424,car,-7.983,-1.327,0.806,0.037,8.091,0.131,-0.799,-0.109
1111.68,47.823,-31.028,0.301,0.17,0,4.616,1.814,417,car,0.296,0.058,-0.972,-0.17,0.301,-0.007,-0.987,0.004,89.263,-20.042,8.061,-2.961,-0.0043,4.344,1.791,424,car,-7.951,-1.325,0.889,0.053,8.06,0.123,-0.884,-0.107
